,Position,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
104,105,0.293,0.107,147.175,0.0313,0.804,1.26e-05,4.0,0.568,1.0,260533.0,-10.253,0.252,1.0
105,106,0.604,0.353,134.052,0.0385,0.0612,0.0,3.0,0.677,7.0,235947.0,-5.32,0.299,1.0
106,107,0.347,0.087,84.987,0.0636,0.0511,2.43e-06,4.0,0.717,11.0,235477.0,-10.265,0.0593,0.0
107,108,0.732,0.269,145.992,0.0457,0.00312,9.86e-06,4.0,0.583,11.0,213428.0,-5.728,0.292,0.0
108,109,0.736,0.171,103.027,0.0385,0.0444,0.000137,4.0,0.648,8.0,239465.0,-7.948,0.376,1.0
109,110,0.879,0.156,110.125,0.124,0.0184,0.0,4.0,0.603,5.0,228253.0,-4.098,0.307,1.0
110,111,0.77,0.103,107.951,0.0482,0.124,0.0,4.0,0.702,9.0,213520.0,-5.416,0.591,0.0
111,112,0.954,0.112,104.029,0.119,0.0244,0.0,4.0,0.68,9.0,247493.0,-1.823,0.524,1.0
112,113,0.738,0.0603,128.051,0.118,0.0485,0.34,4.0,0.799,9.0,137661.0,-9.043,0.422,1.0
113,114,0.631,0.106,101.678,0.0486,0.0502,0.0,4.0,0.535,11.0,203475.0,-6.396,0.506,1.0
114,115,0.608,0.0855,94.0,0.0381,0.283,0.0,4.0,0.837,6.0,197213.0,-6.046,0.598,0.0
115,116,0.924,0.149,111.995,0.0359,0.00205,0.000173,4.0,0.638,7.0,263787.0,-3.887,0.515,1.0
116,117,0.815,0.163,123.063,0.0581,0.0185,0.0,4.0,0.636,5.0,219043.0,-5.098,0.629,0.0
117,118,0.772,0.44,96.016,0.1,0.0559,0.000486,4.0,0.832,10.0,209453.0,-5.429,0.714,1.0
118,119,0.768,0.0848,120.084,0.0346,0.052,0.0,4.0,0.751,1.0,235493.0,-7.089,0.885,1.0
119,120,0.626,0.0631,88.007,0.292,0.076,0.0,4.0,0.899,6.0,234320.0,-4.228,0.871,0.0
120,121,0.701,0.151,175.95,0.106,0.132,0.0,4.0,0.73,5.0,207307.0,-5.885,0.789,0.0
121,122,0.594,0.0925,143.86,0.0486,0.348,0.0,4.0,0.381,3.0,290907.0,-5.97,0.275,1.0
122,123,0.775,0.29,120.053,0.0782,0.17,0.0,4.0,0.73,1.0,206500.0,-4.821,0.916,1.0
123,124,0.787,0.0685,117.089,0.0499,0.0197,6.07e-05,5.0,0.399,1.0,216120.0,-2.88,0.574,1.0
124,125,0.356,0.0963,97.001,0.196,0.222,0.0,4.0,0.765,11.0,198293.0,-5.556,0.191,0.0
125,126,0.0565,0.0889,123.994,0.0534,0.965,0.0,4.0,0.71,7.0,275280.0,-15.099,0.352,1.0
126,127,0.567,0.137,135.553,0.0798,0.0861,0.0,5.0,0.356,0.0,242253.0,-7.011,0.116,0.0
127,128,0.568,0.108,136.173,0.142,0.0541,0.0,4.0,0.795,5.0,198944.0,-7.817,0.47,0.0
128,129,0.795,0.123,135.018,0.174,0.156,0.0,4.0,0.652,11.0,304607.0,-5.192,0.788,0.0
129,130,0.609,0.0344,114.988,0.0824,0.00801,8.15e-05,4.0,0.856,0.0,269667.0,-7.223,0.932,1.0
130,131,0.728,0.361,171.388,0.255,0.00971,0.00115,4.0,0.701,2.0,326467.0,-4.554,0.0619,1.0
131,132,0.727,0.12,100.394,0.201,0.221,3.43e-05,4.0,0.551,10.0,218400.0,-5.903,0.381,0.0
132,133,0.777,0.874,135.01,0.0817,0.0661,0.0,4.0,0.695,6.0,334253.0,-2.452,0.373,0.0
133,134,0.492,0.336,111.001,0.128,0.0155,3.93e-06,4.0,0.803,5.0,200680.0,-7.177,0.486,0.0
134,135,0.521,0.0565,100.0,0.332,0.302,0.0,4.0,0.696,10.0,292987.0,-8.465,0.471,0.0
135,136,0.679,0.385,157.97,0.0706,0.00191,0.0104,4.0,0.718,11.0,173347.0,-5.899,0.215,0.0
136,137,0.174,0.0855,112.175,0.0332,0.851,1.92e-05,4.0,0.608,1.0,260004.0,-8.796,0.198,1.0
137,138,0.413,0.101,149.004,0.395,0.373,0.00133,4.0,0.835,1.0,258880.0,-9.81,0.114,1.0
138,139,0.929,0.0677,95.012,0.0532,0.171,0.0,4.0,0.78,11.0,227693.0,-0.739,0.837,0.0
139,140,0.868,0.388,122.003,0.0731,0.0389,0.00171,4.0,0.738,11.0,212640.0,-4.373,0.334,0.0
140,141,0.567,0.0705,108.024,0.0651,0.0692,0.0,4.0,0.797,2.0,188889.0,-7.503,0.834,1.0
141,142,0.563,0.515,113.121,0.052,0.126,0.0,4.0,0.717,7.0,135920.0,-4.406,0.399,1.0
142,143,0.481,0.0649,80.025,0.0815,0.369,1.03e-06,4.0,0.689,10.0,229526.0,-7.503,0.266,1.0
143,144,0.797,0.0846,94.948,0.0614,0.132,0.0,4.0,0.59,4.0,208120.0,-4.901,0.421,0.0
144,145,0.757,0.0766,91.513,0.0422,0.0521,0.0,4.0,0.624,7.0,185194.0,-4.461,0.55,1.0
145,146,0.685,0.16,118.016,0.0309,0.166,1.18e-05,4.0,0.782,4.0,180566.0,-6.237,0.579,1.0
146,147,0.613,0.115,91.024,0.0344,0.403,0.0,4.0,0.667,1.0,194453.0,-5.353,0.479,1.0
147,148,0.781,0.0789,139.432,0.0567,0.041,4.21e-06,4.0,0.432,4.0,250286.0,-4.038,0.191,0.0
148,149,0.869,0.103,108.061,0.0789,0.0525,0.00719,4.0,0.599,0.0,193333.0,-3.697,0.603,1.0
149,150,0.669,0.311,121.984,0.0355,0.0242,0.0152,4.0,0.815,6.0,199656.0,-7.966,0.325,0.0
150,151,0.742,0.14,114.679,0.0443,0.234,0.0,5.0,0.768,9.0,219227.0,-6.308,0.8,1.0
151,152,0.804,0.0812,120.028,0.049,0.37,1.18e-05,4.0,0.916,0.0,196000.0,-3.406,0.535,1.0
152,153,0.756,0.0527,104.945,0.0294,0.131,0.0,4.0,0.729,8.0,228293.0,-5.119,0.523,1.0
153,154,0.661,0.087,78.132,0.0333,0.361,0.0,4.0,0.526,7.0,196960.0,-3.828,0.56,0.0
154,155,0.716,0.316,136.904,0.0768,0.115,0.0,4.0,0.706,7.0,252263.0,-4.263,0.46,0.0
155,156,0.433,0.135,160.14,0.185,0.108,0.0,4.0,0.53,6.0,194613.0,-10.598,0.272,1.0
156,157,0.627,0.0909,108.016,0.0894,0.0183,0.0,4.0,0.741,1.0,188493.0,-4.816,0.714,0.0
157,158,0.7,0.113,80.498,0.0264,0.144,0.0,4.0,0.551,0.0,203653.0,-4.468,0.759,1.0
158,159,0.802,0.702,88.615,0.27,0.0125,1.45e-06,4.0,0.471,1.0,213507.0,-3.599,0.649,0.0
159,160,0.873,0.354,148.075,0.128,0.0244,0.0,4.0,0.746,7.0,222093.0,-3.803,0.808,1.0
160,161,0.404,0.3,71.105,0.0499,0.271,0.0,4.0,0.414,0.0,354320.0,-9.928,0.232,0.0
161,162,0.851,0.0784,171.411,0.197,0.0748,0.0,4.0,0.551,1.0,297893.0,-3.277,0.0991,1.0
162,163,0.264,0.132,119.93,0.0322,0.922,0.0,4.0,0.422,8.0,269560.0,-7.064,0.331,1.0
163,164,0.538,0.104,75.089,0.0572,0.385,0.0,4.0,0.509,7.0,252867.0,-7.335,0.242,1.0
164,165,0.703,0.113,119.749,0.0503,0.192,0.0,4.0,0.715,5.0,238320.0,-3.825,0.599,1.0
165,166,0.664,0.116,128.945,0.0464,0.634,0.0,4.0,0.566,4.0,241688.0,-5.303,0.407,0.0
166,167,0.897,0.343,125.002,0.0349,0.012,1.01e-06,4.0,0.706,8.0,207291.0,-2.539,0.61,0.0
167,168,0.777,0.671,136.249,0.059,0.119,7.87e-05,4.0,0.473,9.0,186813.0,-3.698,0.221,1.0
168,169,0.58,0.0849,76.241,0.0286,0.605,0.000231,4.0,0.667,5.0,160097.0,-6.412,0.571,1.0
169,170,0.562,0.209,72.945,0.03,0.175,9.17e-06,4.0,0.386,10.0,363114.0,-4.363,0.241,1.0
170,171,0.73,0.148,173.967,0.099,0.425,1.25e-06,4.0,0.702,0.0,206693.0,-5.173,0.875,0.0
171,172,0.82,0.156,107.936,0.063,0.196,0.0,4.0,0.702,7.0,187126.0,-4.323,0.53,0.0
172,173,0.701,0.108,162.958,0.146,0.0114,0.0,4.0,0.632,7.0,215414.0,-5.921,0.488,1.0
173,174,0.666,0.127,118.97,0.0916,0.00427,0.0,4.0,0.762,0.0,232093.0,-6.055,0.273,1.0
174,175,0.859,0.348,140.027,0.315,0.127,0.0,4.0,0.788,1.0,219333.0,-5.542,0.765,1.0
175,176,0.519,0.135,112.991,0.0902,0.0886,0.0,4.0,0.919,6.0,313573.0,-7.639,0.311,0.0
176,177,0.623,0.219,140.171,0.13,0.00287,0.00145,4.0,0.686,1.0,219759.0,-3.425,0.166,1.0
177,178,0.68,0.109,114.025,0.0629,0.00906,0.0,4.0,0.775,0.0,207719.0,-5.508,0.636,0.0
178,179,0.731,0.151,101.654,0.0379,0.431,0.0,4.0,0.484,1.0,204280.0,-6.694,0.5,1.0
179,180,0.721,0.824,117.139,0.386,0.062,0.0,5.0,0.536,10.0,191942.0,-6.44,0.388,0.0
180,181,0.753,0.283,93.267,0.0681,0.151,0.0,4.0,0.806,1.0,180639.0,-4.702,0.794,1.0
181,182,0.418,0.11,84.899,0.0377,0.566,0.000193,4.0,0.5,0.0,172724.0,-6.535,0.179,1.0
182,183,0.47,0.199,80.016,0.15,0.0163,4.75e-06,4.0,0.74,1.0,241400.0,-11.173,0.299,1.0
183,184,0.496,0.12,128.06,0.0804,0.0253,0.00132,4.0,0.598,0.0,202661.0,-9.309,0.722,1.0
184,185,0.689,0.207,99.904,0.094,0.0498,0.0,4.0,0.55,3.0,224487.0,-7.76,0.419,0.0
185,186,0.701,0.0955,179.998,0.0559,0.423,0.0,4.0,0.622,8.0,207013.0,-5.452,0.665,1.0
186,187,0.705,0.118,121.941,0.0366,0.0596,0.0,4.0,0.663,1.0,257387.0,-4.945,0.477,0.0
187,188,0.843,0.344,128.63,0.316,0.0487,0.0,4.0,0.503,10.0,203105.0,-4.991,0.774,0.0
188,189,0.359,0.12,81.987,0.461,0.069,0.0,4.0,0.843,0.0,163944.0,-7.417,0.156,1.0
189,190,0.539,0.106,112.006,0.0409,0.326,0.0,4.0,0.619,1.0,206400.0,-5.688,0.387,0.0
190,191,0.436,0.635,133.942,0.176,0.0235,0.0,3.0,0.835,0.0,189853.0,-9.602,0.241,1.0
191,192,0.936,0.0926,148.112,0.0917,0.00108,0.0,4.0,0.33,1.0,222587.0,-3.66,0.218,1.0
192,193,0.442,0.11,146.448,0.0243,0.727,1.71e-05,4.0,0.56,5.0,309600.0,-7.224,0.21,1.0
193,194,0.406,0.112,127.978,0.266,0.145,0.000242,4.0,0.874,1.0,195053.0,-10.025,0.811,1.0
194,195,0.805,0.0856,126.008,0.0469,0.00711,0.00193,4.0,0.506,1.0,227074.0,-4.119,0.385,1.0
195,196,0.838,0.809,148.138,0.313,0.403,0.0,4.0,0.712,7.0,363521.0,-2.679,0.61,1.0
196,197,0.717,0.625,190.05,0.318,0.00256,0.0,4.0,0.618,7.0,196693.0,-5.738,0.601,1.0
197,198,0.414,0.0854,193.549,0.37,0.0298,0.0,4.0,0.563,0.0,235652.0,-11.409,0.452,1.0
198,199,0.742,0.11,91.959,0.0716,0.0722,0.0199,4.0,0.7,5.0,302000.0,-6.777,0.21,0.0
199,200,0.655,0.224,118.673,0.0496,0.00091,0.0,4.0,0.676,2.0,198480.0,-5.705,0.382,0.0
